Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1219.3,[1049-1399],636.0,1126.6,2169.1,2366.2,2.1,4064.4,1219.3,n/a,+0.0%,100%,0%,168.2
static,2203.6,[1421-3272],3365.1,1233.9,5229.5,17343.2,14.06,5398.1,2180.6,3262.4,-80.7%,91%,9%,159.1
bandit,5271.2,[3688-7052],7427.0,2137.8,22390.1,25814.5,12.07,6613.6,2088.5,11636.5,-332.3%,64%,36%,106.3
adaptive,6401.8,[4885-8101],8081.4,2223.2,23665.7,27170.8,12.22,7451.8,2933.9,9725.3,-425.0%,60%,40%,107.5
