Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1318.8,[1125-1514],713.7,1041.4,2339.5,2465.5,2.37,3502.9,1294.9,2513.7,+0.0%,100%,0%,158.4
static,2266.9,[1345-3553],3811.4,1328.0,2452.2,18713.9,14.09,5890.0,2266.9,n/a,-71.9%,95%,5%,161.3
bandit,5284.7,[3941-6817],6744.2,2490.0,22555.0,25310.5,10.16,6641.0,2087.3,9986.8,-300.7%,61%,39%,98.0
adaptive,6405.8,[4976-7961],7325.6,3971.9,21622.8,24380.7,6.14,7459.8,2689.8,10452.1,-385.7%,48%,52%,87.1
