Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1277.3,[1093-1468],690.6,1129.1,2274.7,2318.1,2.05,4181.8,1257.0,2288.4,+0.0%,100%,0%,164.3
static,2143.4,[1403-3123],3254.9,1396.7,3784.3,17527.3,12.55,4881.9,1760.4,11527.4,-67.8%,94%,6%,154.6
bandit,4834.1,[3352-6511],6953.7,1836.9,21429.7,23662.2,12.88,6212.5,1878.5,11259.4,-278.5%,68%,32%,116.0
adaptive,5183.3,[3595-6924],6965.7,2071.7,21133.2,22260.9,10.75,6834.4,2752.6,12332.2,-305.8%,69%,31%,116.8
