Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1229.0,[1052-1417],667.6,991.5,2191.6,2283.1,2.3,4147.1,1229.0,n/a,+0.0%,100%,0%,164.1
static,1583.0,[1325-1884],1043.3,1405.9,2641.0,5109.9,3.63,4413.6,1526.4,2998.1,-28.8%,94%,6%,156.2
bandit,5194.1,[3686-6893],7086.0,2004.0,22169.6,23600.6,11.78,7519.0,1520.2,12848.2,-322.6%,68%,32%,115.9
adaptive,5810.0,[4398-7282],7246.3,2246.9,21963.8,24837.7,11.05,7195.6,1896.2,10582.8,-372.8%,60%,40%,103.6
