Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1400.0,[1168-1653],883.6,1141.5,2346.5,3600.8,3.15,4302.6,1317.6,3458.7,+0.0%,100%,0%,161.1
static,2289.0,[1505-3380],3368.8,1612.9,5529.4,17557.6,10.89,5099.3,1937.7,10367.2,-63.5%,92%,8%,153.3
bandit,5281.6,[3726-7043],7271.2,2131.8,21902.9,27140.8,12.73,8074.1,2287.4,12410.6,-277.3%,65%,35%,109.2
adaptive,8291.4,[6614-10013],8199.7,4302.8,24435.6,24982.9,5.81,9834.3,5001.9,11654.0,-492.2%,36%,64%,69.8
