Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1201.5,[1020-1386],670.2,899.2,2269.2,2421.9,2.69,4127.9,1215.7,495.1,+0.0%,100%,0%,167.3
static,1905.4,[1334-2803],2946.6,1346.4,2972.3,13697.9,10.17,4275.0,1458.1,9210.6,-58.6%,92%,8%,153.6
bandit,11634.0,[10082-13272],8013.9,7332.2,23966.8,26738.1,3.65,12643.9,12425.7,10905.7,-868.3%,1%,99%,15.7
adaptive,9322.7,[7560-11054],8701.0,4283.7,23444.9,24268.6,5.67,11193.3,12453.6,6504.9,-675.9%,31%,69%,62.0
