Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1457.2,[1253-1662],752.1,1590.9,2404.5,2820.1,1.77,4250.5,1437.1,2461.4,+0.0%,100%,0%,158.1
static,1638.9,[1377-1934],1039.4,1769.9,2615.9,5034.9,2.84,4499.1,1592.4,3965.2,-12.5%,96%,4%,157.9
bandit,5246.3,[3847-6822],6723.6,2264.7,22165.1,24937.2,11.01,6730.9,2263.2,10118.7,-260.0%,54%,46%,98.1
adaptive,4580.6,[3072-6240],6598.0,1762.2,19883.5,23760.0,13.48,6282.7,2080.5,11933.9,-214.4%,72%,28%,121.3
