Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1211.9,[1032-1401],679.8,979.6,2196.4,2333.4,2.38,3228.5,1196.0,2007.3,+0.0%,100%,0%,165.3
static,1889.7,[1314-2802],2596.2,1634.5,2687.8,12111.1,7.41,5938.2,1889.7,n/a,-55.9%,95%,5%,161.8
bandit,6026.4,[4483-7640],7286.5,2236.6,22337.4,25210.7,11.27,7657.2,2234.6,11156.6,-397.3%,57%,42%,99.0
adaptive,2010.2,[1147-3251],3961.6,1009.3,2228.0,20920.5,20.73,4894.6,2010.2,n/a,-65.9%,96%,4%,159.1
