Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1234.1,[1024-1458],794.8,887.2,2262.8,3628.0,4.09,3849.1,1194.9,3195.7,+0.0%,100%,0%,165.4
static,2140.5,[1486-3051],2915.7,1604.1,5508.3,15422.5,9.61,4509.9,1847.4,9321.2,-73.4%,92%,8%,154.7
bandit,12137.6,[10615-13726],7716.3,10851.5,24011.2,25983.8,2.39,12691.7,12760.7,11564.4,-883.5%,2%,98%,16.2
adaptive,8517.6,[6816-10310],8135.4,4714.3,23278.2,27167.4,5.76,10062.7,5991.0,10465.1,-590.2%,34%,66%,66.9
