Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1787.0,[1561-2036],853.7,1660.3,3380.7,3715.2,2.24,10091.5,1787.0,n/a,+0.0%,100%,0%,170.9
static,2342.0,[2040-2662],918.5,2276.6,3644.0,4430.1,1.95,17646.3,2342.0,n/a,-31.1%,100%,0%,169.8
bandit,10572.8,[8125-13137],10345.4,6188.6,28268.1,35261.4,5.7,18134.7,15930.1,7306.1,-491.7%,52%,48%,100.9
adaptive,3821.7,[1519-6646],6461.1,1481.9,19218.2,23503.0,15.86,25497.2,3821.7,n/a,-113.9%,83%,17%,159.3
