Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1242.4,[1060-1424],682.7,922.6,2254.8,2363.0,2.56,4232.9,1242.4,n/a,+0.0%,100%,0%,166.5
static,1767.0,[1330-2424],2107.2,1351.4,3907.6,10020.9,7.41,3703.5,1363.7,5127.6,-42.2%,89%,11%,151.4
bandit,7321.5,[5678-8969],7704.1,3982.3,21656.3,24637.6,6.19,8537.3,3166.4,10993.4,-489.3%,42%,58%,76.7
adaptive,4318.8,[1959-7185],7052.3,1187.1,21345.8,23404.5,19.72,12497.7,4318.8,n/a,-247.6%,77%,23%,141.7
