Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1241.2,[1054-1432],687.1,908.7,2223.8,2270.9,2.5,3538.4,1254.3,586.6,+0.0%,100%,0%,166.7
static,1969.4,[1366-2917],2989.0,1422.2,4395.4,13656.8,9.6,4177.0,1486.5,9858.2,-58.7%,88%,12%,150.2
bandit,4730.0,[3329-6326],6574.4,2070.9,21797.4,23495.3,11.35,6701.0,1549.7,11355.5,-281.1%,66%,34%,114.4
adaptive,1565.3,[1096-2341],2493.9,1163.4,2159.2,10411.9,8.95,4197.7,1565.3,n/a,-26.1%,100%,0%,168.2
