Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1401.7,[1195-1612],758.6,1553.1,2380.0,2801.0,1.8,4331.1,1401.7,n/a,+0.0%,100%,0%,164.8
static,1955.2,[1399-2762],2389.2,1647.6,2820.3,11710.3,7.11,5899.3,1955.2,n/a,-39.5%,95%,5%,162.3
bandit,4263.3,[3033-5635],5768.3,1994.4,18231.9,21670.8,10.87,5682.9,1262.4,10515.2,-204.2%,69%,31%,120.1
adaptive,1856.6,[1229-2718],2831.7,1354.8,2527.7,15212.9,11.23,4437.1,1829.1,2542.5,-32.4%,96%,4%,156.7
