Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1332.1,[1151-1517],678.7,1477.4,2174.6,2573.4,1.74,3743.2,1302.0,2838.9,+0.0%,100%,0%,165.0
static,2151.4,[1440-3157],3195.8,1491.9,4102.6,17551.7,11.76,4343.3,1531.2,9903.8,-61.5%,91%,9%,152.7
bandit,6683.0,[4995-8501],7763.9,2379.2,22405.4,23190.1,9.75,8090.3,2642.1,12953.4,-401.7%,55%,45%,99.0
adaptive,1844.4,[1185-2743],2859.2,958.8,3908.8,15259.1,15.91,4325.3,1798.2,4154.5,-38.5%,98%,2%,160.6
