Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,5758.2,[1078-12575],14053.3,1009.8,45802.1,47479.2,47.02,5795.1,5758.2,n/a,+0.0%,100%,0%,162.1
static,2206.6,[1241-3788],3339.2,1434.3,3260.2,13503.3,9.41,2236.4,2206.6,n/a,+61.7%,95%,5%,156.9
bandit,4430.7,[1646-7916],7309.6,1272.8,22433.7,24462.9,19.22,4453.6,4430.7,n/a,+23.1%,75%,25%,133.4
adaptive,2459.2,[1097-4437],4011.6,1171.9,10120.3,15751.6,13.44,2507.8,2459.2,n/a,+57.3%,90%,10%,151.6
