Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,5770.3,[1289-12257],13354.3,1340.7,43823.8,45389.9,33.85,5803.4,5770.3,n/a,+0.0%,100%,0%,168.7
static,1812.5,[954-3253],3045.7,905.9,2636.6,12144.6,13.41,1842.8,1812.5,n/a,+68.6%,95%,5%,163.4
bandit,2510.5,[1611-3541],2288.3,2042.9,7489.2,7962.8,3.9,2549.7,2510.5,n/a,+56.5%,80%,20%,142.1
adaptive,3549.8,[3515-3585],49.4,3549.8,3581.2,3584.0,1.01,8507.0,3549.8,n/a,+38.5%,0%,100%,20.1
