Mode,OK / Total,Success Rate,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock (ms),Post-shock (ms),vs Baseline,% GPU,% CPU,Tok/s (mean)
Baseline,506 / 1000,50.6%,1286.4,[1224–1350],717.1,1044.1,2283.0,2481.5,2.38,4011.9,1265.5,2773.5,+0.0%,100%,0%,163.8
Static ML,491 / 1000,49.1%,1967.3,[1739–2218],2751.7,1521.9,3794.7,18257.9,12.0,4806.9,1769.6,6877.2,-52.9%,93%,7%,156.6
Bandit,765 / 1000,76.5%,5644.2,[5159–6167],7234.0,2187.6,22250.5,25441.4,11.63,7248.7,2219.3,11253.9,-338.8%,59%,41%,101.6
Adaptive,684 / 1000,68.4%,5176.9,[4667–5705],7037.3,2039.6,21729.6,24813.3,12.17,7117.1,2615.8,10688.6,-302.4%,66%,34%,115.0
