Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1205.7,[1011-1406],734.8,748.5,2195.2,2888.7,3.86,4034.1,1165.3,3225.9,+0.0%,100%,0%,165.9
static,1687.2,[1433-1957],980.8,1743.0,2624.1,4635.1,2.66,4382.0,1642.1,2813.1,-39.9%,96%,4%,155.7
bandit,4858.6,[3288-6661],7062.7,1966.3,21975.0,23677.3,12.04,6661.6,2055.8,13102.3,-303.0%,73%,27%,120.9
adaptive,1652.6,[1191-2392],2380.4,1393.9,2437.1,10082.8,7.23,4457.1,1611.1,2689.5,-37.1%,98%,2%,163.9
