Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1095.0,[927-1266],657.2,657.4,2098.5,2127.1,3.24,3133.1,1111.5,992.1,+0.0%,100%,0%,170.0
static,2436.9,[1523-3627],3938.4,1422.9,10124.0,18929.3,13.3,4537.2,1763.8,18929.3,-122.5%,92%,8%,159.1
bandit,5001.2,[3450-6708],7066.8,1893.0,21805.6,23677.2,12.51,6968.3,2019.7,11777.3,-356.7%,75%,25%,131.6
adaptive,6084.3,[4633-7658],7489.5,2159.3,22118.5,25090.6,11.62,7384.9,2337.9,10653.2,-455.6%,58%,42%,104.3
