Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,2121.7,[1874-2380],902.6,2171.5,3646.6,3874.6,1.78,5867.1,2121.7,n/a,+0.0%,100%,0%,149.9
static,0.0,n/a,0.0,0.0,0.0,0.0,n/a,inf,n/a,n/a,+0.0%,n/a,n/a,n/a
bandit,12980.1,[9855-16333],15522.4,2518.5,41531.7,54001.4,21.44,13639.5,25851.1,2683.4,-511.8%,60%,40%,103.0
adaptive,2127.9,[1764-2574],1477.0,1866.4,3987.9,7093.2,3.8,6449.8,2161.2,1294.5,-0.3%,96%,4%,148.4
