Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1265.7,[1087-1454],668.8,1107.4,2198.9,2394.3,2.16,3838.6,1241.5,2475.2,+0.0%,100%,0%,166.0
static,2003.0,[1449-2746],2466.1,1819.0,4026.0,13121.1,7.21,4393.5,1959.4,3094.0,-58.3%,94%,6%,157.3
bandit,10131.0,[8424-11975],8128.3,5578.1,24197.7,24953.7,4.47,11066.5,8748.6,11189.7,-700.4%,16%,84%,39.5
adaptive,2346.0,[1385-3615],3937.7,1217.0,9663.4,19216.6,15.79,4956.6,2346.0,n/a,-85.4%,92%,8%,155.7
