Mode,Mean (ms),95% CI,Std (ms),P50 (ms),P95 (ms),P99 (ms),P99/P50,Eff. lat (ms),Pre-shock mean,Post-shock mean,vs baseline,% GPU,% CPU,Tokens/s
baseline,1296.3,[1102-1491],711.8,1034.6,2298.9,2336.9,2.26,4184.1,1296.3,n/a,+0.0%,100%,0%,166.3
static,2303.0,[1403-3548],4021.3,1429.3,6434.6,20670.9,14.46,4518.8,1695.9,12420.9,-77.7%,92%,8%,156.8
bandit,6804.5,[5177-8595],7921.0,4101.1,22698.2,25555.5,6.23,7728.9,2959.3,10945.6,-424.9%,47%,53%,82.8
adaptive,1941.6,[1152-3060],3623.9,906.3,3014.8,19481.9,21.5,4545.4,1898.5,3018.8,-49.8%,96%,4%,162.5
